event_id,open_date,event_name,home,away,total_matched,backp1_a,backp1_b,sentiment_score_st_a,sentiment_score_st_b,sentiment_score_lt_a,sentiment_score_lt_b,volume_st_a,volume_st_b,volume_lt_a,volume_lt_b,wgted_players_sentiment_a,wgted_players_sentiment_b,wgted_players_sentiment_st_a,wgted_players_sentiment_st_b,volume_players_a,volume_players_b,volume_players_st_a,volume_players_st_b,volume_players_st_previous_a,volume_players_st_previous_b,date_data,date_sentiment_a,date_sentiment_b,date_odds,final_result
29004135,"2018-12-04 19:45:00","West Ham v Cardiff","West Ham",Cardiff,47229.25,1.69,5.9,78,81,71,81,7551,4942,39282,16259,59,81,71,79,28885,3701,4065,1094,3574,1021,2018-12-03,"2018-12-03 00:00:00","2018-12-03 00:00:00","2018-12-10 23:41:39",1
29004092,"2018-12-02 16:15:00","Liverpool v Everton",Liverpool,Everton,123380.88,1.43,9,46,72,57,76,56275,10565,273414,69759,82,81,66,71,179297,22860,12583,2009,16609,1617,2018-12-01,"2018-12-01 00:00:00","2018-12-01 00:00:00","2018-12-08 23:41:33",1
29004080,"2018-12-02 14:05:00","Arsenal v Tottenham",Arsenal,Tottenham,113270.49,2.66,2.76,78,77,74,73,28742,26580,238243,153458,80,83,78,81,121077,50801,11018,8631,10388,8626,2018-12-01,"2018-12-01 00:00:00","2018-12-01 00:00:00","2018-12-08 23:41:33",1
29004094,"2018-12-02 12:00:00","Chelsea v Fulham",Chelsea,Fulham,129715.23,1.2,17.5,68,72,62,64,25906,1963,181052,34814,77,72,72,70,66446,3101,6722,231,6394,311,2018-12-01,"2018-12-01 00:00:00","2018-12-01 00:00:00","2018-12-08 23:41:33",1
29004078,"2018-12-01 17:30:00","Southampton v Man Utd",Southampton,"Man Utd",147085.19,4.4,1.98,56,47,44,55,5341,74586,36999,458331,52,70,70,68,12412,173798,482,23202,534,22198,2018-11-30,"2018-11-30 00:00:00","2018-11-30 00:00:00","2018-12-07 23:44:56",3
29004074,"2018-12-01 15:00:00","C Palace v Burnley","Crystal Palace",Burnley,118543.01,1.59,7.2,72,65,63,62,2576,1478,27982,13393,77,79,74,72,4731,961,430,143,365,180,2018-11-30,"2018-11-30 00:00:00","2018-11-30 00:00:00","2018-12-07 23:44:56",1
29004075,"2018-12-01 15:00:00","Huddersfield v Brighton",Huddersfield,Brighton,38974.69,2.5,3.45,65,71,79,61,2515,1736,19974,18518,77,81,73,66,4235,4542,507,505,469,483,2018-11-30,"2018-11-30 00:00:00","2018-11-30 00:00:00","2018-12-07 23:44:56",2
29004076,"2018-12-01 15:00:00","Leicester v Watford","Leicester City",Watford,43547.85,2.26,3.65,72,71,80,71,4370,1664,50112,15742,78,84,73,70,12314,3921,1139,238,1165,241,2018-11-30,"2018-11-30 00:00:00","2018-11-30 00:00:00","2018-12-07 23:44:56",1
29004091,"2018-12-01 15:00:00","Man City v Bournemouth","Man City",Bournemouth,183732.97,1.12,28,68,77,65,83,15435,1522,150315,22543,71,92,70,75,87598,10642,8046,302,6909,320,2018-11-30,"2018-11-30 00:00:00","2018-11-30 00:00:00","2018-12-07 23:44:56",1
29004077,"2018-12-01 15:00:00","Newcastle v West Ham",Newcastle,"West Ham",50445.9,2.58,3,74,69,68,66,6411,2874,59394,38716,77,56,75,55,7096,26309,483,1423,632,1395,2018-11-30,"2018-11-30 00:00:00","2018-11-30 00:00:00","2018-12-07 23:44:56",2
28997309,"2018-11-30 20:00:00","Cardiff v Wolves",Cardiff,Wolves,48008.12,3.7,2.3,72,68,79,68,1060,2066,12497,25947,81,70,70,71,2686,5759,246,301,247,394,2018-11-29,"2018-11-29 00:00:00","2018-11-29 00:00:00","2018-12-06 23:41:33",1
28994091,"2018-11-26 20:30:00","Burnley v Newcastle",Burnley,Newcastle,40603.75,2.98,2.78,73,76,65,63,1171,4905,12802,55419,79,77,71,71,848,6830,102,198,92,257,2018-11-25,"2018-11-25 00:00:00","2018-11-25 00:00:00","2018-12-02 23:41:34",2
28994047,"2018-11-25 16:00:00","Wolves v Huddersfield",Wolves,Huddersfield,52853.09,1.49,9.6,73,75,74,75,2236,1435,24652,16167,69,78,71,70,5953,3506,550,122,683,195,2018-11-24,"2018-11-24 00:00:00","2018-11-24 00:00:00","2018-12-01 23:41:33",2
28994048,"2018-11-25 13:30:00","Bournemouth v Arsenal",Bournemouth,Arsenal,48912.61,3.55,2.1,77,72,83,73,1815,18228,22117,250735,91,78,72,76,11126,126957,723,9915,802,9228,2018-11-24,"2018-11-24 00:00:00","2018-11-24 00:00:00","2018-12-01 23:41:33",2
28994039,"2018-11-24 17:30:00","Tottenham v Chelsea",Tottenham,Chelsea,84368.58,2.88,2.66,75,86,63,73,11180,19872,154980,185799,78,84,82,85,47982,69503,3527,10182,4067,7318,2018-11-23,"2018-11-23 00:00:00","2018-11-23 00:00:00","2018-11-30 23:41:33",1
28994043,"2018-11-24 15:00:00","Brighton v Leicester",Brighton,"Leicester City",42075.21,2.96,2.72,76,79,65,62,2094,2677,20413,139861,84,76,80,81,5823,17672,765,1223,783,1068,2018-11-23,"2018-11-23 00:00:00","2018-11-23 00:00:00","2018-11-30 23:41:33",3
28994044,"2018-11-24 15:00:00","Everton v Cardiff",Everton,Cardiff,57628.93,1.43,9,81,77,74,79,5854,800,69338,14422,82,80,79,79,23191,2721,4180,220,3792,228,2018-11-23,"2018-11-23 00:00:00","2018-11-23 00:00:00","2018-11-30 23:41:33",1
